Operation;Request time;Response time;#NAME?;the average request time;#VALUE!
GetOrderList;11.01.23 06:05;11.01.23 06:05;;;
GetItemList;11.01.23 06:18;11.01.23 06:18;;;
GetPaymentMethods;11.01.23 06:31;11.01.23 06:31;;;
SendNotification;11.01.23 06:43;11.01.23 06:43;;;
GetPaymentMethods;11.01.23 06:56;11.01.23 06:56;;;
ModifyItem;11.01.23 07:09;11.01.23 07:09;;;
GetOrderList;11.01.23 07:22;11.01.23 07:22;;;
GetTrackingData;11/1/2023 07:35:17.070;11.01.23 07:35;;;
AddItemToOrder;11.01.23 07:48;11.01.23 07:48;;;
ModifyOrder;11.01.23 08:00;11.01.23 08:01;;;
SetPayment;11.01.23 08:13;11.01.23 08:13;;;
ModifyOrder;11.01.23 08:26;11.01.23 08:26;;;
SendNotification;11.01.23 08:39;11.01.23 08:39;;;
GetTrackingData;11.01.23 08:52;11.01.23 08:52;;;
ModifyItem;11.01.23 09:18;11.01.23 09:18;;;
GetItem;11.01.23 09:30;11.01.23 09:30;;;
Login;11.01.23 09:43;11.01.23 09:43;;;
ModifyItem;11.01.23 10:09;11.01.23 10:09;;;
ModifyOrder;11.01.23 10:35;11.01.23 10:35;;;
Login;11.01.23 11:00;11.01.23 11:00;;;
GetItem;11.01.23 11:13;11.01.23 11:13;;;
Login;11.01.23 11:26;11.01.23 11:26;;;
ModifyOrder;11.01.23 11:52;11.01.23 11:52;;;
GetOrderList;11.01.23 12:05;11.01.23 12:05;;;
Login;11.01.23 12:18;11.01.23 12:18;;;
GetItem;11.01.23 12:30;11.01.23 12:30;;;
SendNotification;11.01.23 12:43;11.01.23 12:43;;;
GetPaymentMethods;11.01.23 12:56;11.01.23 12:56;;;
Login;11/1/2023 13:09:29.050;11.01.23 13:09;;;
GetTrackingData;11.01.23 13:22;11.01.23 13:22;;;
GetOrder;11.01.23 13:35;11.01.23 13:35;;;
GetOrderList;11.01.23 13:48;11.01.23 13:48;;;
GetPaymentList;11.01.23 14:00;11.01.23 14:00;;;
AddItemToOrder;11.01.23 14:13;11.01.23 14:13;;;
GetPaymentList;11.01.23 14:26;11.01.23 14:26;;;
ModifyOrder;11.01.23 14:39;11.01.23 14:39;;;
SetPayment;11.01.23 14:52;11.01.23 14:52;;;
GetPaymentList;11.01.23 15:18;11.01.23 15:18;;;
SetPayment;11.01.23 15:30;11.01.23 15:30;;;
ModifyItem;11.01.23 15:43;11.01.23 15:43;;;
GetPaymentMethods;11.01.23 16:09;11.01.23 16:09;;;
GetOrder;11.01.23 16:22;11.01.23 16:22;;;
GetPaymentList;11.01.23 16:35;11.01.23 16:35;;;
GetItemList;11.01.23 16:47;11.01.23 16:48;;;
ModifyItem;11.01.23 17:00;11.01.23 17:00;;;
GetOrderList;11.01.23 17:13;11.01.23 17:13;;;
AddItemToOrder;11.01.23 17:26;11.01.23 17:26;;;
SetPayment;11.01.23 17:39;11.01.23 17:39;;;
GetPaymentList;11.01.23 17:52;11.01.23 17:52;;;
Login;11.01.23 18:05;11.01.23 18:05;;;
SetPayment;11.01.23 18:17;11.01.23 18:17;;;
Login;11.01.23 18:30;11.01.23 18:30;;;
GetOrder;11/1/2023 18:43:41.030;11.01.23 18:43;;;
GetPaymentList;11.01.23 18:56;11.01.23 18:56;;;
SetDeliveryAddress;11.01.23 19:09;11.01.23 19:09;;;
SendNotification;11.01.23 19:22;11.01.23 19:22;;;
GetOrder;11.01.23 19:35;11.01.23 19:35;;;
Login;11.01.23 20:00;11.01.23 20:00;;;
SetPayment;11.01.23 20:13;11.01.23 20:13;;;
ModifyOrder;11.01.23 20:26;11.01.23 20:26;;;
GetPaymentList;11.01.23 20:39;11.01.23 20:39;;;
SetDeliveryAddress;11.01.23 20:52;11.01.23 20:52;;;
GetTrackingData;11.01.23 21:05;11.01.23 21:05;;;
GetPaymentList;11.01.23 21:17;11.01.23 21:17;;;
GetPaymentMethods;11/1/2023 21:30:47.020;11.01.23 21:30;;;
GetPaymentList;11.01.23 21:43;11.01.23 21:43;;;
GetPaymentMethods;11.01.23 22:09;11.01.23 22:09;;;
SetPayment;11.01.23 22:22;11.01.23 22:22;;;
GetTrackingData;11.01.23 22:35;11.01.23 22:35;;;
GetItem;11.01.23 22:47;11.01.23 22:47;;;
Login;11.01.23 23:00;11.01.23 23:00;;;
Login;11.01.23 23:13;11.01.23 23:13;;;
Login;11/1/2023 23:26:28.090;11.01.23 23:26;;;
GetOrderList;11.01.23 23:39;11.01.23 23:39;;;
GetOrder;11.01.23 23:52;11.01.23 23:52;;;
GetOrder;12.01.23 00:05;12.01.23 00:05;;;
GetTrackingData;12.01.23 00:30;12.01.23 00:30;;;
GetPaymentList;12.01.23 00:43;12.01.23 00:43;;;
GetPaymentMethods;12.01.23 00:56;12.01.23 00:56;;;
GetOrderList;12.01.23 01:09;12.01.23 01:09;;;
GetOrder;12.01.23 01:22;12.01.23 01:22;;;
GetItemList;12.01.23 01:35;12.01.23 01:35;;;
GetPaymentMethods;12.01.23 01:47;12.01.23 01:47;;;
SetDeliveryAddress;12.01.23 02:00;12.01.23 02:00;;;
GetTrackingData;12/1/2023 02:13:34.080;12.01.23 02:13;;;
ModifyOrder;12.01.23 02:26;12.01.23 02:26;;;
AddItemToOrder;12.01.23 02:39;12.01.23 02:39;;;
GetOrderList;12.01.23 02:52;12.01.23 02:52;;;
ModifyItem;12/1/2023 03:04:59.000;12.01.23 03:05;;;
GetPaymentList;12.01.23 03:17;12.01.23 03:17;;;
ModifyItem;12.01.23 03:30;12.01.23 03:30;;;
GetItem;12.01.23 03:43;12.01.23 03:43;;;
GetTrackingData;12.01.23 03:56;12.01.23 03:56;;;
SetPayment;12.01.23 04:09;12.01.23 04:09;;;
AddItemToOrder;12.01.23 04:22;12.01.23 04:22;;;
GetOrder;12.01.23 04:34;12.01.23 04:34;;;
GetPaymentMethods;12.01.23 04:47;12.01.23 04:47;;;
SetPayment;12/1/2023 05:00:40.070;12.01.23 05:00;;;
SetPayment;12.01.23 05:13;12.01.23 05:13;;;
SetPayment;12.01.23 05:26;12.01.23 05:26;;;
GetTrackingData;12.01.23 05:39;12.01.23 05:39;;;
ModifyOrder;12.01.23 05:52;12.01.23 05:52;;;
GetOrder;12.01.23 06:04;12.01.23 06:04;;;
ModifyItem;12.01.23 06:30;12.01.23 06:30;;;
GetOrder;12.01.23 06:43;12.01.23 06:43;;;
GetItemList;12.01.23 06:56;12.01.23 06:56;;;
SetPayment;12.01.23 07:09;12.01.23 07:09;;;
SetPayment;12.01.23 07:22;12.01.23 07:22;;;
GetItem;12.01.23 07:34;12.01.23 07:34;;;
ModifyItem;12.01.23 08:00;12.01.23 08:00;;;
GetItem;12.01.23 08:13;12.01.23 08:13;;;
AddItemToOrder;12.01.23 08:26;12.01.23 08:26;;;
GetItem;12.01.23 08:39;12.01.23 08:39;;;
GetTrackingData;12.01.23 08:52;12.01.23 08:52;;;
GetTrackingData;12.01.23 09:04;12.01.23 09:04;;;
SendNotification;12.01.23 09:17;12.01.23 09:17;;;
ModifyItem;12.01.23 09:30;12.01.23 09:30;;;
SetPayment;12.01.23 09:43;12.01.23 09:43;;;
SetPayment;12.01.23 09:56;12.01.23 09:56;;;
GetOrder;12.01.23 10:09;12.01.23 10:09;;;
AddItemToOrder;12.01.23 10:22;12.01.23 10:22;;;
ModifyOrder;12/1/2023 10:34:52.050;12.01.23 10:34;;;
SetDeliveryAddress;12.01.23 10:47;12.01.23 10:47;;;
AddItemToOrder;12.01.23 11:13;12.01.23 11:13;;;
SetDeliveryAddress;12.01.23 11:26;12.01.23 11:26;;;
SetDeliveryAddress;12.01.23 11:39;12.01.23 11:39;;;
GetPaymentList;12.01.23 11:51;12.01.23 11:52;;;
ModifyItem;12.01.23 12:04;12.01.23 12:04;;;
SetDeliveryAddress;12.01.23 12:17;12.01.23 12:17;;;
ModifyOrder;12.01.23 12:30;12.01.23 12:30;;;
GetOrder;12.01.23 12:43;12.01.23 12:43;;;
GetPaymentList;12.01.23 12:56;12.01.23 12:56;;;
GetPaymentMethods;12/1/2023 13:21:58.040;12.01.23 13:21;;;
AddItemToOrder;12.01.23 13:34;12.01.23 13:34;;;
GetPaymentMethods;12.01.23 13:47;12.01.23 13:47;;;
SendNotification;12.01.23 14:00;12.01.23 14:00;;;
GetPaymentList;12.01.23 14:26;12.01.23 14:26;;;
Login;12.01.23 14:39;12.01.23 14:39;;;
GetPaymentMethods;12.01.23 14:51;12.01.23 14:51;;;
GetTrackingData;12.01.23 15:04;12.01.23 15:04;;;
SendNotification;12.01.23 15:17;12.01.23 15:17;;;
GetItem;12.01.23 15:30;12.01.23 15:30;;;
SetDeliveryAddress;12.01.23 15:43;12.01.23 15:43;;;
GetPaymentList;12.01.23 15:56;12.01.23 15:56;;;
GetPaymentMethods;12/1/2023 16:09:04.030;12.01.23 16:09;;;
ModifyOrder;12.01.23 16:21;12.01.23 16:21;;;
GetPaymentList;12.01.23 16:34;12.01.23 16:34;;;
GetItemList;12.01.23 17:00;12.01.23 17:00;;;
GetOrderList;12.01.23 17:13;12.01.23 17:13;;;
GetOrder;12.01.23 17:26;12.01.23 17:26;;;
GetOrderList;12.01.23 17:39;12.01.23 17:39;;;
GetItem;12.01.23 17:51;12.01.23 17:51;;;
ModifyItem;12.01.23 18:04;12.01.23 18:04;;;
SetPayment;12.01.23 18:17;12.01.23 18:17;;;
GetTrackingData;12.01.23 18:30;12.01.23 18:30;;;
GetTrackingData;12.01.23 18:43;12.01.23 18:43;;;
Login;12/1/2023 18:56:10.020;12.01.23 18:56;;;
GetPaymentMethods;12.01.23 19:09;12.01.23 19:09;;;
GetOrder;12.01.23 19:21;12.01.23 19:21;;;
AddItemToOrder;12.01.23 19:34;12.01.23 19:34;;;
SetDeliveryAddress;12.01.23 19:47;12.01.23 19:47;;;
SetPayment;12.01.23 20:00;12.01.23 20:00;;;
AddItemToOrder;12.01.23 20:13;12.01.23 20:13;;;
ModifyItem;12.01.23 20:26;12.01.23 20:26;;;
SetDeliveryAddress;12.01.23 20:38;12.01.23 20:39;;;
SetPayment;12/1/2023 20:51:51.090;12.01.23 20:51;;;
SetDeliveryAddress;12.01.23 21:04;12.01.23 21:04;;;
GetOrderList;12.01.23 21:17;12.01.23 21:17;;;
GetOrder;12/1/2023 21:43:16.010;12.01.23 21:43;;;
ModifyItem;12.01.23 21:56;12.01.23 21:56;;;
GetItemList;12.01.23 22:08;12.01.23 22:08;;;
ModifyOrder;12.01.23 22:21;12.01.23 22:21;;;
GetTrackingData;12.01.23 22:34;12.01.23 22:34;;;
Login;12.01.23 22:47;12.01.23 22:47;;;
GetPaymentList;12.01.23 23:00;12.01.23 23:00;;;
SetPayment;12.01.23 23:26;12.01.23 23:26;;;
GetItem;12/1/2023 23:38:57.080;12.01.23 23:38;;;
GetItem;12.01.23 23:51;12.01.23 23:51;;;
ModifyOrder;13.01.23 00:04;13.01.23 00:04;;;
ModifyOrder;13.01.23 00:17;13.01.23 00:17;;;
GetPaymentList;13/1/2023 00:30:22.000;13.01.23 00:30;;;
SendNotification;13.01.23 00:43;13.01.23 00:43;;;
AddItemToOrder;13.01.23 00:56;13.01.23 00:56;;;
GetItem;13.01.23 01:08;13.01.23 01:08;;;
SetDeliveryAddress;13.01.23 01:34;13.01.23 01:34;;;
GetItem;13.01.23 01:47;13.01.23 01:47;;;
Login;13.01.23 02:00;13.01.23 02:00;;;
GetPaymentMethods;13.01.23 02:13;13.01.23 02:13;;;
GetItem;13/1/2023 02:26:03.070;13.01.23 02:26;;;
Login;13.01.23 02:38;13.01.23 02:38;;;
SendNotification;13.01.23 02:51;13.01.23 02:51;;;
GetItem;13.01.23 03:04;13.01.23 03:04;;;
ModifyOrder;13.01.23 03:17;13.01.23 03:17;;;
GetOrderList;13.01.23 03:30;13.01.23 03:30;;;
ModifyOrder;13.01.23 03:43;13.01.23 03:43;;;
GetItem;13.01.23 03:56;13.01.23 03:56;;;
SendNotification;13.01.23 04:08;13.01.23 04:08;;;
SetDeliveryAddress;13.01.23 04:21;13.01.23 04:21;;;
GetOrderList;13.01.23 04:34;13.01.23 04:34;;;
SetDeliveryAddress;13.01.23 04:47;13.01.23 04:47;;;
ModifyItem;13.01.23 05:00;13.01.23 05:00;;;
GetOrderList;13/1/2023 05:13:09.060;13.01.23 05:13;;;
SetDeliveryAddress;13.01.23 05:26;13.01.23 05:26;;;
GetPaymentMethods;13.01.23 05:38;13.01.23 05:38;;;
GetPaymentMethods;13.01.23 05:51;13.01.23 05:51;;;
GetPaymentList;13.01.23 06:04;13.01.23 06:04;;;
GetOrder;13.01.23 06:55;13.01.23 06:56;;;
AddItemToOrder;13.01.23 07:08;13.01.23 07:08;;;
GetOrderList;13.01.23 07:21;13.01.23 07:21;;;
ModifyOrder;13.01.23 07:34;13.01.23 07:34;;;
GetOrder;13.01.23 07:47;13.01.23 07:47;;;
GetPaymentList;13/1/2023 08:00:15.050;13.01.23 08:00;;;
ModifyOrder;13.01.23 08:13;13.01.23 08:13;;;
GetTrackingData;13.01.23 08:25;13.01.23 08:25;;;
SendNotification;13.01.23 08:38;13.01.23 08:38;;;
ModifyItem;13.01.23 08:51;13.01.23 08:51;;;
SetPayment;13.01.23 09:04;13.01.23 09:04;;;
GetTrackingData;13.01.23 09:17;13.01.23 09:17;;;
GetOrderList;13.01.23 09:30;13.01.23 09:30;;;
GetPaymentMethods;13.01.23 09:43;13.01.23 09:43;;;
GetItem;13.01.23 09:55;13.01.23 09:55;;;
ModifyOrder;13.01.23 10:08;13.01.23 10:08;;;
GetOrderList;13.01.23 10:21;13.01.23 10:21;;;
GetOrder;13.01.23 10:34;13.01.23 10:34;;;
GetItem;13/1/2023 10:47:21.040;13.01.23 10:47;;;
GetPaymentList;13.01.23 11:00;13.01.23 11:00;;;
Login;13.01.23 11:13;13.01.23 11:13;;;
GetPaymentList;13.01.23 11:25;13.01.23 11:25;;;
GetPaymentMethods;13.01.23 11:38;13.01.23 11:38;;;
GetItem;13.01.23 11:51;13.01.23 11:51;;;
ModifyOrder;13.01.23 12:04;13.01.23 12:04;;;
GetPaymentList;13.01.23 12:17;13.01.23 12:17;;;
GetOrderList;13.01.23 12:43;13.01.23 12:43;;;
GetOrderList;13.01.23 12:55;13.01.23 12:55;;;
GetItem;13.01.23 13:08;13.01.23 13:08;;;
ModifyItem;13.01.23 13:21;13.01.23 13:21;;;
ModifyItem;13/1/2023 13:34:27.030;13.01.23 13:34;;;
GetPaymentMethods;13.01.23 13:47;13.01.23 13:47;;;
GetItem;13.01.23 14:00;13.01.23 14:00;;;
AddItemToOrder;13.01.23 14:13;13.01.23 14:13;;;
GetOrderList;13.01.23 14:25;13.01.23 14:25;;;
AddItemToOrder;13.01.23 14:38;13.01.23 14:38;;;
GetPaymentList;13.01.23 14:51;13.01.23 14:51;;;
GetTrackingData;13.01.23 15:17;13.01.23 15:17;;;
SetDeliveryAddress;13.01.23 15:30;13.01.23 15:30;;;
SendNotification;13.01.23 15:42;13.01.23 15:43;;;
ModifyOrder;13.01.23 15:55;13.01.23 15:55;;;
GetPaymentMethods;13.01.23 16:08;13.01.23 16:08;;;
SetDeliveryAddress;13/1/2023 16:21:33.020;13.01.23 16:21;;;
Login;13.01.23 16:34;13.01.23 16:34;;;
Login;13.01.23 16:47;13.01.23 16:47;;;
GetPaymentList;13.01.23 17:00;13.01.23 17:00;;;
SetPayment;13.01.23 17:12;13.01.23 17:12;;;
ModifyOrder;13.01.23 17:25;13.01.23 17:25;;;
AddItemToOrder;13.01.23 17:38;13.01.23 17:38;;;
GetPaymentMethods;13.01.23 17:51;13.01.23 17:51;;;
Login;13.01.23 18:04;13.01.23 18:04;;;
SetDeliveryAddress;13/1/2023 18:17:14.090;13.01.23 18:17;;;
SetPayment;13.01.23 18:30;13.01.23 18:30;;;
SetPayment;13.01.23 18:42;13.01.23 18:42;;;
SetDeliveryAddress;13.01.23 18:55;13.01.23 18:55;;;
GetOrder;13/1/2023 19:08:39.010;13.01.23 19:08;;;
Login;13.01.23 19:21;13.01.23 19:21;;;
SetDeliveryAddress;13.01.23 19:34;13.01.23 19:34;;;
GetOrderList;13.01.23 20:00;13.01.23 20:00;;;
SetDeliveryAddress;13.01.23 20:12;13.01.23 20:12;;;
Login;13.01.23 20:25;13.01.23 20:25;;;
ModifyItem;13.01.23 20:51;13.01.23 20:51;;;
GetItemList;13/1/2023 21:04:20.080;13.01.23 21:04;;;
GetItem;13.01.23 21:17;13.01.23 21:17;;;
SetPayment;13.01.23 21:42;13.01.23 21:42;;;
GetOrder;13/1/2023 21:55:45.000;13.01.23 21:55;;;
SendNotification;13.01.23 22:08;13.01.23 22:08;;;
SetDeliveryAddress;13.01.23 22:21;13.01.23 22:21;;;
GetOrderList;13.01.23 23:00;13.01.23 23:00;;;
ModifyOrder;13.01.23 23:12;13.01.23 23:12;;;
ModifyOrder;13.01.23 23:25;13.01.23 23:25;;;
ModifyOrder;13.01.23 23:38;13.01.23 23:38;;;
GetPaymentList;13/1/2023 23:51:26.070;13.01.23 23:51;;;
GetPaymentMethods;14.01.23 00:04;14.01.23 00:04;;;
ModifyOrder;14.01.23 00:17;14.01.23 00:17;;;
GetItem;14.01.23 00:29;14.01.23 00:30;;;
ModifyOrder;14.01.23 00:42;14.01.23 00:42;;;
ModifyOrder;14.01.23 00:55;14.01.23 00:55;;;
ModifyItem;14.01.23 01:08;14.01.23 01:08;;;
Login;14.01.23 01:21;14.01.23 01:21;;;
GetItem;14.01.23 01:34;14.01.23 01:34;;;
GetTrackingData;14.01.23 01:47;14.01.23 01:47;;;
SetDeliveryAddress;14.01.23 01:59;14.01.23 01:59;;;
Login;14.01.23 02:12;14.01.23 02:12;;;
GetTrackingData;14/1/2023 02:38:32.060;14.01.23 02:38;;;
GetItem;14.01.23 02:51;14.01.23 02:51;;;
GetPaymentList;14.01.23 03:04;14.01.23 03:04;;;
GetOrder;14.01.23 03:17;14.01.23 03:17;;;
GetPaymentList;14.01.23 03:29;14.01.23 03:29;;;
Login;14.01.23 03:42;14.01.23 03:42;;;
GetPaymentMethods;14.01.23 03:55;14.01.23 03:55;;;
ModifyOrder;14.01.23 04:08;14.01.23 04:08;;;
ModifyOrder;14.01.23 04:34;14.01.23 04:34;;;
GetItem;14.01.23 04:47;14.01.23 04:47;;;
GetPaymentMethods;14.01.23 04:59;14.01.23 04:59;;;
Login;14.01.23 05:12;14.01.23 05:12;;;
GetOrderList;14/1/2023 05:25:38.050;14.01.23 05:25;;;
GetItem;14.01.23 05:38;14.01.23 05:38;;;
SetDeliveryAddress;14.01.23 05:51;14.01.23 05:51;;;
SetDeliveryAddress;14.01.23 06:04;14.01.23 06:04;;;
AddItemToOrder;14.01.23 06:17;14.01.23 06:17;;;
GetTrackingData;14.01.23 06:42;14.01.23 06:42;;;
GetPaymentMethods;14.01.23 06:55;14.01.23 06:55;;;
SendNotification;14.01.23 07:08;14.01.23 07:08;;;
SetPayment;14.01.23 07:21;14.01.23 07:21;;;
GetItem;14.01.23 07:34;14.01.23 07:34;;;
SetPayment;14.01.23 07:59;14.01.23 07:59;;;
AddItemToOrder;14.01.23 08:25;14.01.23 08:25;;;
GetOrderList;14.01.23 08:38;14.01.23 08:38;;;
GetPaymentList;14.01.23 08:51;14.01.23 08:51;;;
ModifyOrder;14.01.23 09:04;14.01.23 09:04;;;
GetPaymentMethods;14.01.23 09:17;14.01.23 09:17;;;
GetOrderList;14.01.23 09:29;14.01.23 09:29;;;
GetItemList;14.01.23 09:55;14.01.23 09:55;;;
SetPayment;14.01.23 10:08;14.01.23 10:08;;;
AddItemToOrder;14.01.23 10:21;14.01.23 10:21;;;
SetDeliveryAddress;14.01.23 10:34;14.01.23 10:34;;;
GetTrackingData;14.01.23 10:46;14.01.23 10:46;;;
GetPaymentMethods;14/1/2023 10:59:50.030;14.01.23 10:59;;;
ModifyOrder;14.01.23 11:12;14.01.23 11:12;;;
GetPaymentList;14.01.23 11:25;14.01.23 11:25;;;
GetOrder;14.01.23 11:38;14.01.23 11:38;;;
ModifyItem;14.01.23 11:51;14.01.23 11:51;;;
SetPayment;14.01.23 12:04;14.01.23 12:04;;;
Login;14.01.23 12:16;14.01.23 12:16;;;
AddItemToOrder;14.01.23 12:42;14.01.23 12:42;;;
GetPaymentMethods;14.01.23 12:55;14.01.23 12:55;;;
GetOrder;14.01.23 13:08;14.01.23 13:08;;;
ModifyItem;14.01.23 13:21;14.01.23 13:21;;;
GetOrderList;14.01.23 13:34;14.01.23 13:34;;;
SetDeliveryAddress;14/1/2023 13:46:56.020;14.01.23 13:46;;;
ModifyItem;14.01.23 13:59;14.01.23 13:59;;;
GetPaymentList;14.01.23 14:12;14.01.23 14:12;;;
AddItemToOrder;14.01.23 14:25;14.01.23 14:25;;;
SetDeliveryAddress;14.01.23 14:38;14.01.23 14:38;;;
SendNotification;14.01.23 14:51;14.01.23 14:51;;;
GetItem;14.01.23 15:04;14.01.23 15:04;;;
AddItemToOrder;14.01.23 15:16;14.01.23 15:16;;;
GetItemList;14.01.23 15:29;14.01.23 15:29;;;
GetOrderList;14/1/2023 15:42:37.090;14.01.23 15:42;;;
AddItemToOrder;14.01.23 15:55;14.01.23 15:55;;;
GetPaymentList;14.01.23 16:08;14.01.23 16:08;;;
ModifyItem;14.01.23 16:21;14.01.23 16:21;;;
SetDeliveryAddress;14.01.23 16:46;14.01.23 16:46;;;
AddItemToOrder;14.01.23 16:59;14.01.23 16:59;;;
GetOrder;14.01.23 17:12;14.01.23 17:12;;;
SetDeliveryAddress;14.01.23 17:38;14.01.23 17:38;;;
SetDeliveryAddress;14.01.23 17:51;14.01.23 17:51;;;
SetPayment;14.01.23 18:04;14.01.23 18:04;;;
GetPaymentList;14.01.23 18:16;14.01.23 18:16;;;
AddItemToOrder;14/1/2023 18:29:43.080;14.01.23 18:29;;;
ModifyItem;14.01.23 18:42;14.01.23 18:42;;;
GetPaymentMethods;14.01.23 18:55;14.01.23 18:55;;;
ModifyItem;14.01.23 19:08;14.01.23 19:08;;;
GetOrderList;14/1/2023 19:21:08.000;14.01.23 19:21;;;
GetOrder;14.01.23 19:33;14.01.23 19:34;;;
GetPaymentList;14.01.23 19:46;14.01.23 19:46;;;
GetTrackingData;14.01.23 19:59;14.01.23 19:59;;;
ModifyItem;14.01.23 20:12;14.01.23 20:12;;;
GetPaymentList;14.01.23 20:25;14.01.23 20:25;;;
GetItem;14.01.23 20:38;14.01.23 20:38;;;
GetItemList;14/1/2023 21:16:49.070;14.01.23 21:16;;;
ModifyItem;14.01.23 21:29;14.01.23 21:29;;;
GetPaymentMethods;14.01.23 21:42;14.01.23 21:42;;;
SetPayment;14.01.23 21:55;14.01.23 21:55;;;
GetPaymentMethods;14.01.23 22:08;14.01.23 22:08;;;
GetTrackingData;14.01.23 22:21;14.01.23 22:21;;;
SendNotification;14.01.23 22:33;14.01.23 22:33;;;
ModifyOrder;14.01.23 22:46;14.01.23 22:46;;;
GetOrderList;14.01.23 22:59;14.01.23 22:59;;;
GetOrderList;14.01.23 23:12;14.01.23 23:12;;;
GetOrder;14.01.23 23:25;14.01.23 23:25;;;
GetItemList;14.01.23 23:38;14.01.23 23:38;;;
GetPaymentList;15/1/2023 00:03:55.060;15.01.23 00:03;;;
SetPayment;15.01.23 00:16;15.01.23 00:16;;;
GetPaymentMethods;15.01.23 00:42;15.01.23 00:42;;;
GetOrder;15.01.23 00:55;15.01.23 00:55;;;
GetTrackingData;15.01.23 01:08;15.01.23 01:08;;;
GetPaymentMethods;15.01.23 01:21;15.01.23 01:21;;;
GetOrder;15.01.23 01:33;15.01.23 01:33;;;
GetPaymentList;15.01.23 01:46;15.01.23 01:46;;;
SetDeliveryAddress;15.01.23 01:59;15.01.23 01:59;;;
GetPaymentMethods;15.01.23 02:12;15.01.23 02:12;;;
ModifyOrder;15.01.23 02:25;15.01.23 02:25;;;
GetTrackingData;15.01.23 02:38;15.01.23 02:38;;;
GetPaymentList;15/1/2023 02:51:01.050;15.01.23 02:51;;;
SetDeliveryAddress;15.01.23 03:03;15.01.23 03:03;;;
GetTrackingData;15.01.23 03:16;15.01.23 03:16;;;
Login;15.01.23 03:29;15.01.23 03:29;;;
SendNotification;15.01.23 03:42;15.01.23 03:42;;;
GetItem;15.01.23 03:55;15.01.23 03:55;;;
SendNotification;15.01.23 04:08;15.01.23 04:08;;;
SendNotification;15.01.23 04:20;15.01.23 04:20;;;
GetItemList;15.01.23 04:33;15.01.23 04:33;;;
SetDeliveryAddress;15.01.23 04:46;15.01.23 04:46;;;
GetItem;15.01.23 04:59;15.01.23 04:59;;;
GetPaymentList;15.01.23 05:12;15.01.23 05:12;;;
SetDeliveryAddress;15.01.23 05:25;15.01.23 05:25;;;
Login;15/1/2023 05:38:07.040;15.01.23 05:38;;;
AddItemToOrder;15.01.23 06:03;15.01.23 06:03;;;
ModifyItem;15.01.23 06:16;15.01.23 06:16;;;
SetDeliveryAddress;15.01.23 06:29;15.01.23 06:29;;;
GetTrackingData;15.01.23 06:42;15.01.23 06:42;;;
SendNotification;15.01.23 06:55;15.01.23 06:55;;;
SetDeliveryAddress;15.01.23 07:08;15.01.23 07:08;;;
ModifyItem;15.01.23 07:20;15.01.23 07:21;;;
ModifyOrder;15.01.23 07:46;15.01.23 07:46;;;
AddItemToOrder;15.01.23 07:59;15.01.23 07:59;;;
GetItemList;15/1/2023 08:25:13.030;15.01.23 08:25;;;
ModifyOrder;15.01.23 08:38;15.01.23 08:38;;;
SendNotification;15.01.23 09:03;15.01.23 09:03;;;
GetPaymentList;15.01.23 09:16;15.01.23 09:16;;;
GetTrackingData;15.01.23 09:29;15.01.23 09:29;;;
GetOrderList;15.01.23 09:42;15.01.23 09:42;;;
GetOrderList;15.01.23 09:55;15.01.23 09:55;;;
Login;15.01.23 10:08;15.01.23 10:08;;;
ModifyOrder;15.01.23 10:20;15.01.23 10:20;;;
ModifyItem;15.01.23 10:33;15.01.23 10:33;;;
GetOrderList;15.01.23 10:59;15.01.23 10:59;;;
GetOrderList;15/1/2023 11:12:19.020;15.01.23 11:12;;;
GetItem;15.01.23 12:03;15.01.23 12:03;;;
SetDeliveryAddress;15.01.23 12:16;15.01.23 12:16;;;
ModifyOrder;15.01.23 12:29;15.01.23 12:29;;;
SetPayment;15.01.23 12:42;15.01.23 12:42;;;
SetDeliveryAddress;15.01.23 12:55;15.01.23 12:55;;;
ModifyItem;15/1/2023 13:08:00.090;15.01.23 13:08;;;
GetOrderList;15.01.23 13:20;15.01.23 13:20;;;
GetItemList;15.01.23 13:33;15.01.23 13:33;;;
GetOrderList;15.01.23 13:46;15.01.23 13:46;;;
AddItemToOrder;15/1/2023 13:59:25.010;15.01.23 13:59;;;
SetDeliveryAddress;15.01.23 14:25;15.01.23 14:25;;;
GetTrackingData;15.01.23 14:37;15.01.23 14:37;;;
GetTrackingData;15.01.23 14:50;15.01.23 14:50;;;
GetItem;15.01.23 15:03;15.01.23 15:03;;;
SetDeliveryAddress;15.01.23 15:16;15.01.23 15:16;;;
GetOrderList;15.01.23 15:29;15.01.23 15:29;;;
GetOrderList;15.01.23 15:42;15.01.23 15:42;;;
GetItemList;15/1/2023 15:55:06.080;15.01.23 15:55;;;
GetItem;15.01.23 16:07;15.01.23 16:07;;;
SetPayment;15.01.23 16:20;15.01.23 16:20;;;
GetTrackingData;15.01.23 16:59;15.01.23 16:59;;;
Login;15.01.23 17:12;15.01.23 17:12;;;
GetPaymentMethods;15.01.23 17:25;15.01.23 17:25;;;
GetItemList;15.01.23 17:37;15.01.23 17:37;;;
ModifyOrder;15.01.23 17:50;15.01.23 17:50;;;
ModifyOrder;15.01.23 18:03;15.01.23 18:03;;;
GetItemList;15.01.23 18:29;15.01.23 18:29;;;
